,title,lead,author,date,content
0,"Mexican Delegation To Visit Morocco, Keen To Consolidate Relations","Migration management, the fight against climate change, and the Western Sahara dispute are expected to be the main subjects of bilateral discussions.",Souad Anouar,"June 08, 2022 4:20 p.m.","Rabat - A Mexican parliamentary delegation is expected to pay a working visit to Morocco on Friday, June 10, to consolidate bilateral relations in the management of migration flows and climate change as well as address questions of shared interest. 
Olga Sanchez Cordero, Board of Directors of the Mexican Senate, announced the news in her latest meeting with the Moroccan Ambassador to Mexico, Abdellatif Lebbar. 
Cordero is set to meet with Naama Mayara, President of the Moroccan Chamber of Councillors, to discuss prospects of reinforcing coordination and consultation between the countries’ parliaments and public institutions. 
Accompanying Cordero will be Hector Vasconcelos, the President of the Mexican Senate’s Exterior Relations Commission, and Cora Cecilia Pinedo Alonso, President of the Exterior Relations Commission for Asia, Pacific, and Africa. 
Over the past two years, Morocco and Mexico have expressed shared interest in strengthening south-south cooperation at the diplomatic, economic, and cultural levels despite the Mexican recognition and support of the self-proclaimed Sahrawi Arab Democratic Republic (SADR). 
The Mexican rapprochement with SADR was officialized in 1979 with the recognition of former Foreign Minister Jorge Castaneda y Alvarez de la Rosa of the separatist entity as a state.  
While the statement reporting Cordero’s visit does not mention Western Sahara, there is potential that the disputed region will be at the center of the upcoming meeting. 
Read Also: Mexico-Morocco Friendship Group Reiterates Support for Autonomy Plan
Mexican officials and the Mexico-Morocco Friendship Group have repeatedly called for better trade and diplomatic relations to best represent the 60 years of diplomatic ties connecting Rabat and Mexico City. 
These relations will be celebrated by the Moroccan Embassy in Mexico during a one-week event that will provide a wide selection of artistic cultural events and economic forums from July 23 and 31. 
Beyond the celebrations, the Mexico-Morocco Friendship Group has urged Mexican and Latin American governments to support the Moroccan Autonomy Plan as the ""one and only"" solution to the Western Sahara dispute. 
The group has been vocally pro-Moroccan on numerous occasions with regard to developments in Western Sahara, such as the intervention of the Moroccan Royal Armed Forces in the El Guergarat zone to restore civil and commercial traffic between the region and Mauritania. 
Currently, the Mexico-Morocco Friendship Group’s call for the official recognition of the Moroccan Autonomy Plan for Western Sahara remains unanswered. In Rabat, however, there is discernible hope that the international wave in support of the Moroccan stance on Western Sahara and the latest rapprochement between the two countries might influence decision-makers in the South American country. 
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
1,Spanish PM Renews Support for Morocco’s Autonomy Plan Amid Hostile Campaign,A number of marginal opposition political parties in Spain are taking issue with the Sanchez government’s endorsement of Morocco’s Autonomy Plan for Western Sahara.,Safaa Kasraoui,"June 08, 2022 2:02 p.m.","Rabat - Spain’s Prime Minister Pedro Sanchez has once again renewed his country’s support for Morocco’s Autonomy Plan for Western Sahara.
Appearing at a Congress meeting today, Sanchez insisted that Morocco’s Autonomy Plan is the “most serious, credible, and realistic basis” to resolve the dispute over Western Sahara.
“We need a consensus exit,” the Spanish PM added, emphasizing that his country continues to support the UN-led political process to find a mutually acceptable and agreed upon solution to end the dispute over Western Sahara.
Sanchez’s remarks come in response to the hostile campaign a number of marginal opposition parties have launched to put pressure on the government following Spain’s official endorsement of Morocco’s Autonomy Plan.
In addition to the campaign from some MPs supporting Polisario’s claims, Algeria and the separatist group of the Polisario Front continue to release strongly-worded statements in an attempt to convince Spain to reverse its support for the Moroccan autonomy proposal.
In March, Algeria’s government recalled its ambassador to Madrid in protest of Spain’s support for the Moroccan initiative for Western Sahara.
In a telling statement following Spain’s decision in favor of the Moroccan plan, the Algerian government said that it was “surprised” and “astonished,” and it notably threatened to review its gas deal with Spain.
Read also: Sanchez Renews Spanish Support for Morocco's Autonomy Plan in Meeting with King Mohammed VI
Spain, however, responded to such protests by emphasizing that although it shared good diplomatic relations with Algeria, the North African country had no rights to question, or interfere with Madrid’s “sovereign decision” to support Morocco’s Autonomy Plan. 
In April, Spanish FM Jose Manuel Albares emphasized his government’s support of the Moroccan stance on the Sahara question, saying that Madrid had “nothing to add” to its embrace of Morocco’s Autonomy Plan.
Albares’ remarks angered Algerian officials who described his comments as “derogatory, offensive, and unacceptable.”
Such statements will “certainly not contribute to a rapid return to normal in bilateral relations,” said Amar Belani, whom Algerian President Abdelmadjid Tebboune recently appointed as Algeria’s “special envoy in charge of Western Sahara.”
Spain, however, has repeatedly expressed its determination to preserve its strategic partnership with Morocco.
The latest statement of unwavering support came from Spanish Interior Minister Fernando Grande-Marlaska who on Tuesday called Morocco a “reliable and fraternal country,” adding: “Our relations with Morocco are extremely loyal.”
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
2,Moroccan Ambassador: Polisario’s Sultana Khaya is Not a Human Rights Defender,"While presenting herself as a pacifist champion of human rights, Sultana Khaya has been recorded and photographed while holding rifles and calling for war against Morocco.",Safaa Kasraoui,"June 08, 2022 11:10 a.m.","Rabat - The Permanent Representative of Morocco to the UN, Omar Hilale, has accused Algeria of hiring Polisario members such as Sultana Khaya to undermine Morocco’s territorial integrity.
Hilale addressed a series of letters to the Security Council to expose how Khaya’s maneuvers serve the agenda of the Polisario Front and their biggest supporter, Algeria.
“Sultana Khaya is in no way a defender of human rights, but indeed an agent working for Algeria and the Polisario,” said the Moroccan ambassador, recalling the self-proclaimed activist’s provocative acts and attacks against Morocco over the past months and years.
In his letter, Hilale emphasized that  Khaya has publicly called for an armed conflict in Morocco’s southern provinces, emphasizing that she has been making trips to Algeria where she received military training on the use of firearms and participated in military exercises.
The latest military camp training that Khaya took part in was from January 1-12 in 2019.  Footage and pictures later emerged of the hardline Polisario militant -- and self-described human rights activist -- holding a firearm and calling for war against Morocco. The footage went viral instantly,  prompting many questions about Khaya’s self-presentation as a pacifist human rights activist.
Polisario and Algeria finance Khaya with a monthly stipend of €4,300 to serve their agenda in her capacity as president of a non-registered association under the “Sahrawi league for the defense of human rights,” Hilale said in his letters to the UN Security Council.
“[Khaya] has a Moroccan passport and travels freely and regularly abroad, where she indulges [in criticizing the] human rights situation in Morocco without being bothered or arrested by the Moroccan authorities on her return,” the ambassador argued.
Read Also: Polisario Activist Sultana Khaya Refuses CNDH’s Delegation Meeting
Khaya is one of the most controversial members of the Polisario Front. Just last year, as news circulated of her links to an armed branch of the separatist Polisario Front, the European Parliament excluded Khaya’s candidacy from the list of finalists for the 2021 Sakharov Prize, an award presented to individuals who have dedicated their lives to the defense of human rights.
Despite claiming to be a champion of human rights and a fierce chronicler of abuse in Morocco’s southern provinces, Khaya refused to meet a delegation from Morocco’s Human Rights Council (CNDH) in February. 
The delegation, which had traveled to the southern provinces to investigate allegations of human rights violations in the region, visited the Polisario militant at her home in Boujdour for an interview.
Morocco has long warned about Khaya’s hostile maneuvers in several letters to the UN Security Council.
In November 2021, Ambassador Hilale sent a letter to the UN body, detailing Khaya’s involvement with an armed branch of the separatist Polisario Front, and asking rhetorically: “With regard to the so-called Sultana Khaya, in particular, it is worth wondering since when have human rights activists been in military training, with the Kalashnikov slung over their shoulders?”
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
3,"Minister: Spain Wants to Preserve Ties with ‘Reliable, Fraternal’ Morocco","Since endorsing Morocco’s Autonomy Plan for Western Sahara, Madrid has repeatedly renewed its readiness to deepen ties with Rabat.",Safaa Kasraoui,"June 07, 2022 5:02 p.m.","Rabat - Spanish Interior Minister Fernando Grande-Marlaska has reiterated his country’s commitment to preserving relations with Morocco.
Calling Morocco a “reliable and fraternal” country, Marlaska stressed that Rabat and Madrid have long preserved their cooperation and diplomatic ties, and will continue to do so as they commit to a new roadmap to deepen their strategic alliance.
""Our relations with Morocco are extremely loyal, reliable, and fraternal,"" Grande-Marlaska told the press on Tuesday.
He maintained that his country's relations with Morocco will continue to “deepen” following the visit of his Government Prime Minister Pedro Sanchez to Morocco in April.
Sanchez met with King Mohammed VI during his Moroccan visit, and the two leaders issued a joint declaration to announce a new roadmap to improve diplomatic relations after a year-long tension between Madrid and Rabat.
The tension broke out in April 2021 after Spain decided to host the Polisario Front leader, Brahim Ghali for hospitalization. It ended in March this year after Spain announced its full endorsement of Morocco’s Autonomy Plan as the most serious and credible basis to end the dispute over Western Sahara
“Our desire is to deepen our important relations, based on mutual trust and geared towards the 21st century,” Grande-Marlaska said today, echoing similar remarks the Spanish government spokeswoman, Isabelle Rodriguez, made on Monday.
“We can congratulate ourselves because this new step is proving to be very positive,” Rodriguez said.
Amid positive remarks regarding the Morocco-Spain cooperation, former Spain’s foreign minister Arancha Gonzalez Laya attacked Morocco in a recent interview with Spanish news outlet El Periodico
As the head of Spanish diplomacy during the Ghali episode, Laya has been described as the main instigator of the year-long feud between Madrid and Rabat. 
And when she was finally sacked in July of last year, just three months into the then raging Spain-Morocco fallout, reports in the Spanish media suggested that Pedro Sanchez  “sacrificed” Laya in an attempt to appease Morocco.
In her recent interview, Laya defended the decision to receive Ghali for hospitalization, describing it as a  humanitarian move “towards a Spanish citizen who needed immediate help.”
Read Also: Victims of Polisario Terrorism in Spain Condem Sympathy for Separatist Front
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
4,Saudi Arabia Engages in ‘Serious Talks’ With Israel For Potential Normalization,Many have suggested normalization of ties between Saudi Arabia and Israel is just a matter of time.,Safaa Kasraoui,"June 07, 2022 2:14 p.m.","Rabat - Saudi Arabia and Israel are involved in “serious talks” to establish ties and boost cooperation, the Wall Street Journal reported on Monday, noting the  Biden administration's efforts to pave the way for another Abraham Accord with Saudi Arabia.
“Although Saudi Arabia doesn’t recognize Israel and has no diplomatic relations with its neighbor, the kingdom is expanding its secretive talks with Israeli leaders,” the report said, stressing that such talks could reshape Middle East politics and end “decades of enmity” between the two influential countries.
The report comes less than a month after the Saudi government reitrated its unwavering support for the Palestinian cause.
Speaking at the World Economic Forum in Davos in late May, the Saudi foreign affairs minister, Faisal bin Farhan Al Saud, said that the normalization of ties with Israel cannot happen until a peaceful resolution regarding the Palestinian cause is reached.
In his Davos remarks, the top Saudi diplomat notably commented on the murder by Israeli forces of prominent Palestinian-American journalist Shireen Abu Akleh.
The journalist was killed on May 11, sparking outrage and uproar about the international community’s silence and inaction amid Israeli violations against Palestinians.
Despite the comments from the chief of Saudi diplomacy, Israel’s Foreign Minister Yair Lapid said on May 30 that his country is engaged in talks with the US and Gulf Arab countries to explore the “normalization of diplomatic relations” with Saudi Arabia.
Even as he acknowledged that the normalization path with Saudi Arabia remains rocky, Lapid spoke optimistically of a potential agreement between Riyadh and Tel Aviv.  
The Israeli FM’s optimism appears to have been backed by countless reports in the past weeks that the Biden administration is actively pushing to facilitate the normalization of ties between the Saudi and Israeli governments.
Although Saudi Arabia and Israel have no official diplomatic relations, recent developments -- especially reports of the Saudi Crown Prince investing tens of millions of dollars into two Israeli startups -- have led many to suggest that the establishment of diplomatic relations between the two countries may just be a matter of time.
 © Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
5,Spain Satisfied with ‘Positive Results’ of New Diplomatic Roadmap With Morocco,Madrid says it is committed to moving forward in strengthening relations with Rabat and consolidating a mutually win-win partnership.,Safaa Kasraoui,"June 06, 2022 5:47 p.m.","Rabat - Spain has said it is satisfied with the positive results that have been achieved since it agreed to a “new roadmap” to improve relations with Morocco.
“We can congratulate ourselves because this new step proves to be very positive, “ Spain’s government spokeswoman Isabel Rodriquez told Spanish television channel TVE on Monday, adding that Madrid and Rabat have welcomed the positive results of the new roadmap, which “made possible progress on many bilateral issues of common interest.”
Morocco and Spain announced the new roadmap to improve bilateral relations after their long-standing “strategic partnership” took a blow in April 2021 when Madrid hosted Polisario leader Brahim Ghali. 
With Morocco describing Spain’s Ghali gaffe as a betrayal and an unacceptable breach of the reciprocity principle, relations between the two countries experienced an unprecedented low for over a year. 
Following months of behind-the-scenes dialogue and negotiations, Morocco agreed to reconcile with its European ally after Spain announced its endorsement of the Moroccan Autonomy Plan for Western Sahara. 
The official endorsement, which described the Moroccan plan as the most serious and credible proposal to end the Sahara dispute, was followed by a visit to Morocco of Spain’s Prime Minister Pedro Sanchez.
Traveling to the North African country in April, Sanchez met with King Mohammed VI and made a commitment to opening a “new chapter” of diplomatic relations based on unwavering reciprocity and transparency.  
Following their meeting, the Moroccan monarch and the Spanish head of government issued a joint declaration announcing a “new roadmap” aimed at transcending the Ghali incident to lay the ground for a new friendship based on mutual trust and support for each other’s strategic interests. 
Invoking the spirit of the joint declaration in her TVE appearance, Rodriguez stressed that Spain is committed to moving forward in strengthening relations with Morocco and consolidating a mutually win-win partnership.
She said, “We continue to progress in the roadmap that was established with Morocco to improve the neighborhood relationship, particularly progress on issues important to our countries, such as immigration, economy, and security.” 
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
6,Algeria Sentences Brother of Ex-President Bouteflika to 8 Years,"While already serving a 15-year sentence, Said Bouteflika was again tried last week on charges of influence peddling, abuse of power, and money laundering.",Sara Zouiten,"June 06, 2022 5:25 p.m.","Rabat - An Algerian court sentenced on Monday Said Bouteflika, the younger brother of the late former president Abdelaziz Bouteflika, to eight years in prison for corruption. Said is already serving a 15-year sentence for alleged conspiracy and contempt of public authority.
Said’s co-accused, Algerian businessman Ali Haddad, was also convicted in several cases and was sentenced to 4 years in prison in the same trial.
According to local news outlets, the two defendants appeared before the Sidi M’hamed court in Algiers on charges of influence peddling, abuse of power, money laundering, and not declaring property.  
Said Bouteflika and Ali Haddad were also sentenced to pay a fine of DZD 3 million ($ 20,669) each to the Treasury.
In 2019, an Algerian military court sentenced Said to 15 years in prison for “attacking the authority of the army"" and ""conspiracy against the authority of the state.""
Said had been considered to be Algeria’s de facto ruler following his brother’s stroke in 2013.
Read also: Algerian MP Slams Tebboune Government for Inaction during Economic Crisis
Haddad was sentenced to a total of 20 years in prison in other corruption and money laundering cases in March 2020, November 2020, and January 2021. He was sentenced to four years, 12 years, and another four years, respectively.
In October 2021, Said and Haddad were each sentenced to two years in prison for “obstructing justice.”
Following Bouteflika’s fall on April 2, 2019, under pressure from the Hirak protest movement, the Algerian justice system launched a series of investigations into cases involving members of the late president’s entourage, including his family members, politicians, and businessmen.
Hirak started on February 22, 2019, with Algerians denouncing widespread corruption among the country’s political elite and calling for accountability.
Protestors demanded radical change within the entire “corrupt system,” and the dismissal of all government officials from Bouteflika’s era - from 1999 to 2019.
Former president Abdelaziz Bouteflika died at the age of 84 on September 17, 2021, after enduring years of ill health.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
7,India Faces Backlash Over Officials’ Derogatory Comments About Islam,Critics and watchers of India maintain that Islamophobia has been on the rise in the country since the Hindu nationalist party BJP took the helm in 2014.,Aya Benazizi,"June 06, 2022 5:05 p.m.","Rabat - India is facing a major diplomatic backlash from Muslim-majority countries after top officials from the country’s ruling Hindu nationalist party, Bharatiya Janata Party (BJP), made derogatory remarks about Islam and the Prophet Muhammad.
The senior officials’ blasphemous comments drew the ire of many Arab countries, leaving New Delhi scrambling to limit the harmful impact of the country’s latest anti-Islam scandal.
In response to the offensive, Islamophobic comments by senior BJP officials Nupur Sharma and Naveen Kumar Jindal, a number of Arab countries have submitted official objections against India. 
The outpouring of outrage began last week when the two BJP members made remarks that were seen as insulting to Prophet Muhammad and his wife Aisha.
During a televised debate on the vexed Gyanvapi mosque controversy, Sharma made derogatory comments about Prophet Muhammad and his wife Aisha’s age. 
Her remarks sparked controversy, prompting multiple protests from Muslim groups in India, with reports later indicating that around 40 individuals, including police officers, were hurt during the protests in the city of Kanpur. 
Several First Information Reports (FIR) were filed against Sharma for infringing on religious emotions during her now-notorious television debate. The first FIR was registered by the Mumbai Police at the behest of the Islamist group Raza Academy, while the second was filed on June 1 by the Mumbra police in Thane based on a complaint by Mohammad Gufran Khan, a school teacher.
Read also: Students Protest Hijab Ban in Indian College's Classrooms
After being expelled from BJP, Sharma issued an apology on Sunday, stressing that her intention was not to hurt anyone. “If my words have caused discomfort or hurt religious feelings of anyone whatsoever, I hereby unconditionally withdraw my statement,” she said in a tweet.
Jindal, for his part, made provocative statements about Prophet Muhammad on Twitter on June 1. In response, social media users launched a campaign on Twitter under the hashtag “Arrest Naveen Jindal.” Faced with a torrent of backlash, the BJP official later deleted his tweet.
After he was suspended from the BJP, Jindal posted another tweet yesterday urging everyone to not make his address public as he was getting death threats on social media. “I have a special request to all, please do not make my address public, threats to kill me and my family are being given continuously on social media too,” he said.
Amid the social media melee, Qatar, Saudi Arabia, Oman, the United Arab Emirates, Afghanistan, Pakistan, and Iran have all requested an apology from India’s government for tolerating insulting, anti-Islam statements from senior officials of the country’s ruling political party.
The BJP did not take any action against Jindal and Sharma until Sunday, after the governments of Qatar, Kuwait, Pakistan, and Iran summoned Indian ambassadors in their respective countries for clarification. 
In a bid to assuage the backlash it has been experiencing on the diplomatic front, India’s ruling, Hindu nationalist party banned Sharma and expelled Jindal. The party notably issued an unusual statement in which it “strongly denounces disrespect to any religious personalities,” a decision that Qatar and Kuwait applauded.
In addition to the strong condemnation by governments of Muslim-majority countries, many on social media have launched campaigns calling to boycott Indian products as a way of expressing their anger toward the Indian government for accommodating anti-Islam sentiments.
According to Al Jazeera, Indian products were removed from shelves in certain Kuwaiti shops on Monday.
Aggressive reactions to aggressive statements
Because offending Prophet Muhammad is a red line for Muslims, Muslim-majority countries were outraged by India’s offensive Islamophobic statements.
Qatari Minister of State for Foreign Affairs Soltan bin Saad Al-Muraikhi warned in a statement that “these insulting remarks would lead to incitement of religious hatred, and offend more than two billion Muslims around the world.”
Meanwhile, Kuwait cautioned that if the statements were not punished, India would experience “an increase of extremism and hatred.”
Doha, on the other hand, is expecting “a public apology and immediate condemnation of these remarks” from the Indian government.
Saudi Arabia and Iran also submitted complaints with India, while the Jeddha-based Organization of Islamic Cooperation stated the statements came in a “context of intensifying hatred and abuse toward Islam in India and systematic practices against Muslims.”
Pakistan, for its part, summoned an Indian envoy on Monday to express Islamabad’s “strong condemnation.” This came a day after Prime Minister Shehbaz Sharif claimed the BJP officials’ remarks were “hurtful” and that “India under [Prime Minister Narendra] Modi is trampling religious liberties and harassing Muslims.”
The Organization of Islamic Cooperation (OIC) said in a statement: “These insults come in the context of the increasing intensity in hatred of and insults to Islam in India and the systematic harassment of Muslims.” 
So far, New Delhi has made no comment on the Arab states’ objections, but the Indian Foreign Ministry on Monday dismissed the OIC’s views as “unwarranted” and “narrow-minded.”
The Indian embassies in Qatar and Doha issued a statement on Sunday, saying that harsh measures had already been taken against individuals who made the disparaging remarks against Islam. Both declarations notably insisted that the sentiments voiced against the Prophet Muhammad and Islam were not those of the Indian government and were expressed by “fringe elements.”
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
8,"Ceuta-Melilla: Spain, Morocco To Discuss Full Reopening of Borders",Morocco and Spain agreed to open their borders immediately after King Mohammed VI and the Spanish PM met in April.,Safaa Kasraoui,"June 06, 2022 2:59 p.m.","Rabat - Spain and Morocco will meet on Tuesday to discuss the complete reopening of the Moroccan borders with the Spanish enclaves of Ceuta and Melilla.
Inter-ministerial delegations from the two countries will meet to discuss the schedule for completing the process of “normalizing the movement of people and goods,” Spanish news outlet El Pais quoted sources from the Spanish government as saying.
The meeting is in line with the joint declaration Madrid and Rabat issued following the visit of Spanish Prime Minister Pedro Sanchez to Morocco.
During his Moroccan visit, the Spanish PM met with King Mohammed VI as part of the two countries' newfound determination to open a new phase of cooperation to end a year-long diplomatic crisis.
Under the joint declaration, Morocco and Spain agreed to open their borders immediately after the meeting between the King of Morocco and Sanchez.
While Moroccan borders with the Spanish enclaves of Ceuta and Melilla reopened on May 17,  the reopening is taking place gradually.
For now, however, only Spanish citizens and foreigners with a residence permit and a Schengen visa are allowed to access or leave the enclaves.
On May 31, the passage was reopened for cross-border workers in Morocco. 
But “almost none [of the workers] were able to go to the Spanish enclaves, since they lacked a visa,” according to El Pais.
Read Also: Operation ‘Crossing the Strait’ to Kick Off On June 15
Official sources quoted by the Spanish news outlet  did not, however, clarify “whether the schedule to be agreed upon” will include the reopening of the commercial customs office in Melilla or the opening of a commercial customs office in Ceuta that “has never existed until now.”
Moroccan cross-border workers have been protesting near the borders with the Spanish enclaves, asking for the reopening of crossing points that have been closed for over two years due to COVID-19.
In addition to the outbreak of the pandemic, the smuggling of counterfeit goods into Morocco from Ceuta and Melilla is another reason why the North African country decided to close its borders with the two enclaves.
Despite the reopening of borders, the Moroccan government has maintained that the resumption of movement between Morocco and the two enclaves will not reverse its stance on stamping out the smuggling of counterfeits. 
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
9,UN To Cut Food Rations to Sahrawis in Tindouf by 50%,A UN World Food Program official says the decision is due to the notable increase in grain prices amid the Ukraine-Russia conflict.,Safaa Kasraoui,"June 06, 2022 2:24 p.m.","Rabat - The UN is planning to cut by 50% food rations directed to Sahrawis living in the Polisario-run camps in Tindouf, the westernmost province in Algeria.
Citing the UN World Food Program, the Spanish news outlet EFE reported that the decision to cut food rations directed to Sahrawis is due to “higher grain prices and freight rates.”
EFE’s report quoted a spokesperson for the UN World Food Program as saying that acute hunger is projected to increase by 47 million people if the conflict in Ukraine does not end.
“This represents an increase of 17 percent, being the most pronounced in sub-Saharan Africa,” the spokesperson said, adding that the cutting of food rations will also impact countries in the Sahel region.
The news is set to compound the Tindouf camps’ long-running malnutrition crisis,  with recent reports by the UN Secretary-General, Antonio Guterres, having repeatedly outlined the prevalence of acute hunger in the Polisario-run camps.
In his October 2021 report, Guterres expressed concerns about hunger and malnutrition in Tindouf.
Over the years, UN-affiliated organizations have struggled to meet the needs of refugees and improve food security and nutrition in the Tindouf camps.
Read also: Moroccan MPs Shed Light on Human Rights Violations in Tindouf Camps
The UNHCR, UNICEF, and WFP received only 58% of their combined resource needs for their regular programs in 2020.
Several reports have linked malnutrition in the region to the embezzlement of humanitarian aid -- including food packages and funds -- meant for distressed refugees by the Polisario leadership.
In a revealing report in October 2021, the Tindouf-based Autonomy Support Forum (FORSATIN) considered Polisario’s mismanagement and misappropriation of humanitarian aid as the main factor behind the severe health crisis in the camps.
The “smuggling” of medical equipment and food supplies meant for refugees has long caused acute malnutrition and other health concerns in the Polisario-controlled, FORSATIN documented.
“As soon as they [aid packages] arrive and are pictured, these devices evaporate as if they never existed,” noted the report, adding that the shortage of medicines has been one of the camps’ festering issues despite yearly supplies from UN agencies and other relief NGOs.
Even pro-Polisario websites like Futuro Sahara have on occasion reported on the chronic embezzlement of humanitarian aid meant for Sahrawi refugees.
In 2018, Futuro Sahara revealed that food packs and other relief items sent to the Polisario-run camps mostly end up in Algerian grocery stores.
In an even more damning report in 2015, the European Anti-Fraud Office (OLAF) exposed a scandal about the selling and the embezzlement of international aid intended for Sahrawis in the Tindouf camps. 
Covering the 2003-2007 period, the report documented how, amid widespread cases of malnutrition, poor health, and a large shortage of foodstuffs in the Tindouf camps, senior Polisario officials chose instead to sell EU relief products in Mauritanian and Sub-Saharan markets.
© Morocco World News. All Rights Reserved. This material may not be published, rewritten or redistributed without permission."
