,title,author,date,content
0,Naissance dans le foyer de S.A.R. le Prince Moulay Rachid d'un nouveau-né que S.M. le Roi a baptisé du nom de S.A. le Prince Moulay Abdeslam,LE MATIN 02 juin 2022 à 06:37 3875,02 juin 2022 à 06:37,"Le porte-parole du Palais Royal a annoncé, jeudi, la naissance dans le foyer de SAR le Prince Moulay Rachid d'un nouveau-né que SM le Roi Mohammed VI, que Dieu L’assiste, a baptisé du nom de Son Altesse le Prince Moulay Abdeslam.

Voici la traduction du Communiqué du porte-parole du Palais Royal :

""Le porte-parole du Palais Royal a le plaisir et l'honneur d’annoncer au peuple marocain que Dieu, le Donateur gracieux, a comblé, mercredi 1er Dou Al Qiida 1443 de l’Hégire correspondant au 1er juin 2022, SAR le Prince Moulay Rachid d’un nouveau-né qui a égayé l’illustre Famille Royale.

Sa Majesté le Roi Mohammed VI, que Dieu L’assiste et Le Glorifie, a bien voulu baptiser le nouveau-né du nom de Son Altesse le Prince Moulay Abdeslam.

En cette heureuse occasion, le porte-parole du Palais Royal présente à SM le Roi Mohammed VI, que Dieu Le glorifie, ses sincères félicitations et ses vœux les meilleurs, ainsi qu’à SAR le Prince Moulay Rachid et à son épouse SAR la Princesse Lalla Oum Kaltoum.

A l'occasion de cette nouvelle bénie au cours de laquelle les différentes composantes du peuple marocain partagent la joie et le bonheur de SM le Roi, que Dieu Le préserve, et de l’illustre Famille Royale, nous implorons le Très-Haut de perpétuer sur SM le Roi, que Dieu L'assiste, les bienfaits de la gloire et de la grandeur, de Lui accorder santé et longue vie, de remplir les jours de Sa Majesté de joies et d’allégresse, et de Le combler en les Personnes de SAR le Prince Héritier Moulay El Hassan, de SAR la Princesse Lalla Khadija, de SAR le Prince Moulay Rachid et de l’ensemble des membres de l’illustre Famille Royale.

Dieu L’audient exauce les vœux de ceux qui L’implorent""."
1,S.M. le Roi adresse un message de félicitations aux membres du Wydad Athletic Club suite à sa consécration à la Ligue des Champions d'Afrique 2022,LE MATIN 30 mai 2022 à 23:43 2014,30 mai 2022 à 23:43,"Sa Majesté le Roi Mohammed VI, que Dieu L'assiste, a adressé un message de félicitations aux membres du Wydad Athletic Club (WAC), suite à sa consécration à la Coupe de la Ligue des Champions d'Afrique 2022.

Dans ce message, le Souverain affirme avoir suivi avec fierté et joie le grand exploit réalisé par le Wydad Athletic Club qui a remporté la Coupe de la Ligue des Champions d'Afrique au titre de la saison 2021-2022, consolidant ainsi son palmarès de titres nationaux et continentaux et affirmant une nouvelle fois son esprit de challenge et sa capacité à assumer la responsabilité de représenter, de la meilleure des façons, le football marocain.

S.M. le Roi exprime, en cette heureuse occasion, Ses chaleureuses félicitations à l'ensemble des composantes du Club du Wydad, joueurs, entraîneurs, dirigeants, staff technique et médical et supporters, Se disant convaincu que ce sacre, tant mérité, ne pouvait être réalisé sans les efforts intenses déployés tout au long de cette compétition et l’esprit de compétitivité et de patriotisme dont ont fait preuve les membres de l’équipe casablancaise.

Ces efforts «vous ont permis de gratifier votre pays et votre public, passionné et créatif, de ce titre continental, le troisième du genre dans l'histoire du club, riche en exploits», a assuré le Souverain dans ce message.

Cette distinction est également une source de fierté dans la mesure où c’est le deuxième sacre du football marocain au niveau continental en moins de deux semaines, souligne le Souverain, notant que ce triomphe a rempli de joie le public marocain qui aspire à davantage de titres, ce qui donnera, sans nul doute, une forte impulsion au club casablancais, ainsi qu'au reste des équipes sportives afin de redoubler d'efforts et d’accompagner le développement prometteur que connaît le football national sur tous les plans.

Réitérant Ses vives félicitations pour ce remarquable exploit, S.M. le Roi souhaite davantage de succès au club du WAC dans son parcours sportif distingué, tout en l'assurant de Sa Haute sollicitude et bienveillance."
2,Ligue des Champions : S.M. le Roi félicite dans un entretien téléphonique le Wydad,LE MATIN 30 mai 2022 à 22:30,30 mai 2022 à 22:30,"Sa Majesté le Roi Mohammed VI, que Dieu L'assiste, s’est entretenu, juste après le match victorieux du Wydad Athletic Club en finale de la Ligue des Champions d’Afrique 2022, avec l’entraîneur du club, Walid Regragui, et le capitaine de l’équipe, Yahya Jebrane, victoire qui survient au terme d’un brillant parcours.

Lors de cet entretien téléphonique, survenu à l’issue du match tenu ce soir à Casablanca, le Souverain a chargé l’entraîneur et le capitaine de l’équipe de transmettre Ses félicitations pour ce trophée à l’ensemble des joueurs, du staff et des composantes du club et des supporters pour cette importante réalisation, motif de fierté pour l’ensemble du public sportif et tout le peuple Marocains."
3,Message de condoléances et de compassion de S.M. le Roi au Président américain suite à la fusillade dans l'une des écoles de l’Etat du Texas,MAP,27 mai 2022 à 10:18,"Sa Majesté le Roi Mohammed VI a adressé un message de condoléances et de compassion au Président des Etats-Unis d’Amérique, S.E.M. Joseph Robinette Biden, à la suite de la fusillade survenue dans l’une des écoles de l’Etat du Texas, qui a fait plusieurs victimes parmi les élèves innocents.

En cette douloureuse circonstance, le Souverain a exprimé au Président américain et, à travers lui, aux familles éplorées et au peuple américain, Ses vives condoléances et Ses sincères sentiments de compassion suite à ce drame, implorant le Très Haut d'accorder patience et réconfort aux membres des familles des victimes et souhaitant prompt rétablissement aux blessés.

S.M. le Roi dit également partager les sentiments éprouvés suite à cet incident cruel, exprimant au Président américain Ses sincères sentiments de compassion et de solidarité, ainsi que l'expression de toute Son affection et considération."
4,S.M. le Roi adresse un message de félicitations à Tedros Adhanom Ghebreyesus suite à sa réélection à la tête de l'OMS,MAP,27 mai 2022 à 10:16,"Sa Majesté le Roi Mohammed VI a adressé un message de félicitations à M. Tedros Adhanom Ghebreyesus, suite à sa réélection au poste de Directeur général de l'Organisation mondiale de la Santé (OMS).

Dans ce message, le Souverain exprime Ses chaleureuses félicitations au Directeur général de l'OMS et Ses vœux sincères de plein succès dans ses hautes fonctions.

""La confiance renouvelée en vous, pour un second mandat, par les Etats membres de l’Organisation est une preuve de leur soutien aux efforts que vous déployez pour une mise en œuvre optimale des programmes de l’OMS et un accompagnement des développements que connait le secteur de la santé à travers le Monde"", souligne SM le Roi dans ce message.

Le Souverain a réitéré, à cette occasion, à M. Tedros Adhanom Ghebreyesus le soutien du Royaume du Maroc à l’ensemble des initiatives et plans stratégiques menés par l’OMS pour développer le système sanitaire et améliorer ses services, ainsi que pour faire face aux défis et enjeux qu’impose le secteur de la santé, aussi bien sur le continent africain que de par le Monde."
5,Message de condoléances et de compassion de S.M. le Roi aux membres de la famille de l'artiste Sakina Safadi,LE MATIN 26 mai 2022 à 12:56,26 mai 2022 à 12:56,"Sa Majesté le Roi Mohammed VI a adressé un message de condoléances et de compassion aux membres de la famille de l'artiste Sakina Safadi. Dans ce message, le Souverain dit avoir appris avec une profonde émotion le décès de l’artiste Sakina Safadi, que Dieu l’ait en Sa sainte miséricorde, soulignant que le nom de la défunte restera gravé à jamais dans le répertoire de la chanson ghiwane, avec sa présence distinguée au sein du Groupe «Jil Jilala», dont elle est l'un des membres fondateurs. En cette douloureuse circonstance, S.M. le Roi exprime aux membres de la famille de la défunte et, à travers eux, à l’ensemble de ses proches et à sa grande famille artistique nationale, Ses vives condoléances et Ses sincères sentiments de compassion suite à la disparition de cette artiste aux multiples talents, connue pour son patriotisme sincère, priant le Très-Haut de l'accueillir dans Son vaste paradis, de l’entourer de Sa sainte miséricorde et de la rétribuer amplement pour les services louables qu’elle a rendus à l’art et à sa Patrie. Partageant la peine des membres de la famille de la défunte suite à cette perte cruelle, la volonté divine étant imparable, S.M. le Roi implore le Tout-Puissant de leur accorder patience et réconfort.
 "
6,S.M. le Roi félicite la RSB suite à sa consécration à la coupe de la CAF-2022,LE MATIN 20 mai 2022 à 23:23 1312,20 mai 2022 à 23:23,"Sa Majesté le Roi Mohammed VI, que Dieu L'assiste, a adressé un message de félicitations aux membres du club de la Renaissance Sportive de Berkane (RSB), à l'occasion de sa consécration à la Coupe de la Confédération Africaine de Football (CAF-2022).

Dans ce message, le Souverain exprime Ses chaleureuses félicitations à l’ensemble des composantes du Club berkani - joueurs, entraîneurs, techniciens, cadres administratifs et supporters- pour avoir remporté la Coupe de la Confédération Africaine de Football (CAF-2022), et permis ainsi au Maroc de conserver le titre pour la troisième fois consécutive.

""Nous ne pouvons manquer de vous faire part de Notre fierté de ce titre continental qui rend honneur au club de la Renaissance Sportive de Berkane et au football marocain, et que vous avez remporté, avec brio et distinction, pour la deuxième fois, grâce à vos efforts sérieux et à l'ambition qui vous anime pour représenter le Maroc de la meilleure façon dans diverses compétitions internationales, et pour hisser haut les couleurs nationales"", souligne SM le Roi.

Le Souverain Se dit convaincu que ce sacre précieux constituera une source de motivation pour le club de la Renaissance Sportive de Berkane, ainsi que pour le reste des clubs sportifs marocains, pour poursuivre leurs brillants parcours à la tête des différents championnats africains et arabes, souhaitant aux membres du club berkani plein succès et la réalisation de davantage d’exploits et de titres.
 "
7,S.A.R. le Prince Moulay Rachid représente S.M. le Roi à la présentation des condoléances suite au décès de S.A. Cheikh Khalifa Ben Zayed Al Nahyane,LE MATIN 15 mai 2022 à 15:58,15 mai 2022 à 15:58,"Son Altesse Royale le Prince Moulay Rachid a représenté, dimanche à Abou Dhabi, Sa Majesté le Roi Mohammed VI à la présentation des condoléances, suite au décès de SA Cheikh Khalifa Ben Zayed Al Nahyane.

S.A.R. le Prince Moulay Rachid a présenté, lors de l'audience que lui a accordée SA Cheikh Mohammed Ben Zayed Al Nahyane, Président de l'Etat des Emirats Arabes Unis, les condoléances de S.M. le Roi.

Etaient présents à cette audience notamment, du côté émirati, Cheikh Mansour Ben Zayed Al Nahyane, ministre des Affaires de la présidence, Cheikh Tahnoun Ben Zayed Al Nahyane, Conseiller à la sécurité nationale des Émirats Arabes Unis, Cheikh Saif Ben Zayed Al Nahyane, ministre de l’Intérieur et Cheikh Abdallah Ben Zayed Al Nahyane, ministre des Affaires étrangères, et, du côté marocain, le ministre des Habous et des Affaires islamiques, M. Ahmed Toufiq.

S.A.R. le Prince Moulay Rachid était arrivé, plus tôt dans la journée, à l’aéroport présidentiel à Abou Dhabi où il a été accueilli par Cheikh Hazzaa Ben Zayed Al Nahyane, président du Conseil exécutif de l’Emirat d'Abou Dhabi."
8,"S.M. le Roi félicite S.A. Cheikh Mohammed Ben Zayed Al Nahyane, nouveau Président de l'Etat des Emirats Arabes Unis",LE MATIN 14 mai 2022 à 17:04,14 mai 2022 à 17:04,"Sa Majesté le Roi Mohammed VI a adressé un message de félicitations à Son Altesse Cheikh Mohammed Ben Zayed Al Nahyane, élu Président des Emirats Arabes Unis par le Conseil suprême fédéral de l’Etat.

Dans ce message, S.M. le Roi exprime à SA Cheikh Mohammed Ben Zayed Al Nahyane, en Son nom et en celui du peuple marocain, Ses chaleureuses félicitations et Ses vœux les meilleurs, implorant le Très-Haut de guider ses pas et de lui accorder succès dans la conduite du peuple émirati frère vers davantage de progrès et de prospérité.

Le Souverain se dit convaincu que S.A. Cheikh Mohammed Ben Zayed Al Nahyane sera, grâce à ses hautes qualités humaines et à sa perspicacité des grands dirigeants, un digne successeur d’un digne prédécesseur, pour mener son pays frère vers davantage de grandeur, de gloire et de progrès, tout en poursuivant, chose qui n'est pas étrangère à son honorable personne, la défense des causes justes de la Oumma arabe et islamique et le renforcement des relations de coopération et de solidarité entre ses Etats.

Le Souverain saisit cette occasion pour exprimer à S.A. Cheikh Mohammed Ben Zayed Al Nahyane Sa ""profonde satisfaction des liens de fraternité sincère, d'estime mutuelle et de fidélité constante qui Nous lient personnellement et Nos deux familles, ainsi que des relations de solidarité agissante et de coopération fructueuse unissant Nos deux pays, des liens qui vont, Nous n'en doutons point, devenir plus solides et plus forts grâce à Notre volonté commune de hisser nos relations bilatérales distinguées à un niveau qui sert de modèle dans les relations inter-arabes"".

Dans ce message, SM le Roi réitère à Son Altesse Ses sincères félicitations et Ses meilleurs vœux de plein succès au service du peuple émirati frère, implorant le Tout-Puissant de lui accorder santé, prospérité et longue vie.

""Veuillez accepter Altesse et cher frère l'expression de Mon affection et de Mon estime"", conclut le message."
9,S.M. le Roi adresse un ordre du jour aux Forces Armées Royales à l'occasion du 66ème anniversaire de leur création,LE MATIN 14 mai 2022 à 12:38,14 mai 2022 à 12:38,"A l'occasion du 66ème anniversaire de la création des Forces Armées Royales (FAR), Sa Majesté le Roi Mohammed VI, Chef Suprême et Chef d’État-Major Général des FAR, a adressé, samedi, un ordre du jour aux officiers, sous-officiers et militaires de rang.

En voici la traduction :

""Louange à Dieu,

Que la prière et la bénédiction soient sur le Prophète, sa famille et ses compagnons,

Officiers, sous-officiers et militaires de rang,

Conformément à la tradition louable que Nous tenons à perpétuer et avec une grande fierté, Nous Nous adressons aujourd'hui à vous, à l'occasion du soixante-sixième anniversaire de la création des Forces Armées Royales, pour vous exprimer à tous, toutes composantes confondues, terrestre, aérienne, navale et Gendarmerie Royale, Nos sentiments de sympathie et de satisfaction, pour vos nobles actions et immenses sacrifices consentis pour hisser très haut les couleurs de la Patrie et défendre sa souveraineté et son intégrité territoriale.

Et Nous voici aujourd'hui, et comme chaque année, nous commémorons cet anniversaire si cher dans la mémoire nationale, symbole des valeurs de cohésion, de sacrifice et de négation de soi, dont Nos Forces Armées Royales et le Peuple marocain tout entier tirent, aujourd’hui, les fondements de leur résilience et de leur détermination à faire face à toutes les tentatives désespérées visant à porter atteinte à Notre intégrité territoriale et à Nos solides constantes nationales.

Les résultats positifs de vos précieuses réalisations au cours de l’année écoulée Nous rendent fier de votre disponibilité, de votre discipline et de votre esprit de dévouement au service de la Patrie.

A cette occasion, Nous voudrions saluer Nos soldats déployés dans Nos provinces du Sud et de l'Est, ou ceux chargés de surveiller nos frontières terrestres, aériennes et maritimes, avec vigilance et fermeté, fier de ce que vous faites pour préserver l'unité de la Patrie et la sécurité des citoyens.

Officiers, sous-officiers et militaires de rang,

Notre profonde conviction en l'importance des nobles missions que vous accomplissez sur les plans sécuritaire et militaire, et les expériences et acquis que vous avez accumulés dans le domaine de la gestion des risques et des crises Nous font prendre conscience de la justesse de l'approche que Nous avons adoptée pour le développement de Nos Forces Armées Royales en termes de structure et d'organisation, ainsi que Notre souci de fournir un soutien et un accompagnement permanents, avec la même volonté et détermination, pour que vous puissiez atteindre un plus haut niveau de professionnalisme et être en mesure de relever tous les défis, particulièrement en cette conjoncture internationale délicate, avec ses incidences militaires, sécuritaires et économiques.

Dans ce contexte, Nous devons saluer l'efficacité de l’élément humain de Nos Forces Armées Royales, hommes et femmes, et son évolution continue qui reflète la qualité de notre formation militaire, que Nous oeuvrons toujours à sa mise à niveau et à son amélioration, sur les plans théorique et pratique, afin de vous garantir l'acquisition, de manière continue et productive, de toutes les connaissances et expertises nécessaires qui vous qualifient pour mener à bien vos multiples tâches dans les meilleures conditions.

Nous avons également donné Nos Ordres Royaux pour la mise en place d'une haute commission militaire chargée d'examiner le projet de création d'un statut des sous-officiers, qui définit le cadre juridique et organisationnel, ainsi que la gestion du parcours professionnel, selon une vision moderne et globale pour cette catégorie, considérée comme l'un des piliers de Nos Forces Armées Royales.

En concrétisation de la Haute sollicitude dont Nous entourons les membres des familles des martyrs et des pupilles de la Nation, qui ont consenti d'énormes sacrifices pour la défense de la Patrie et de son intégrité territoriale, Nous avons donné Nos Ordres afin de permettre à cette catégorie de bénéficier de logements dans les villes du Royaume, gratuitement et sans frais supplémentaires, afin de leur garantir et à leurs familles, des conditions de vie décentes.

L'une des manifestations les plus marquantes de Notre intérêt pour l'élément humain est l’objectif que Nous ambitionnons d'atteindre à travers l’intégration de notre jeunesse marocaine dans le service militaire, avec l'entrée d'une nouvelle promotion cette année, composée de 20.000 appelé(e)s.

Afin de préserver les acquis de cette expérience nationale, il faut continuer à l'appuyer à travers le développement des programmes, la modernisation des infrastructures et la mise à disposition des moyens matériels et humains pour sa réussite, afin que nos jeunes, qui ont répondu, volontairement et en grand nombre à l'appel, puissent servir avec loyalisme et enthousiasme, leur Patrie.

Officiers, sous-officiers et militaires de rang,

Afin de renforcer les capacités de défense de Notre armée, Nous continuerons d'accorder la priorité au plan d'équipement et de perfectionnement des Forces Armées Royales, selon des programmes intégrés, fondés notamment sur l’implantation des industries militaires et le développement de la recherche scientifique, à travers la conclusion d'une série de partenariats et de conventions avec les centres de recherche et les universités marocaines pour la mise en œuvre de projets à forte valeur technique, l’objectif étant de développer l'auto-équipement de Nos Forces Armées dans divers domaines.

Parallèlement à cette démarche, Nous avons prôné le renforcement de la coopération entre Nos Forces Armées Royales et leurs homologues des pays frères et amis, un choix qui a donné des résultats louables et participé à la consolidation du rayonnement de Notre armée et de sa présence à l'international, renforçant ainsi votre crédibilité et enrichissant votre base de connaissances au service de la consécration des valeurs de paix et de sécurité, auxquelles nous croyons tous, et qui doivent prévaloir entre les Nations et les Peuples.

Partant de ce principe de base, et grâce à l'expérience accumulée par les Forces Armées Royales, le Maroc est devenu aujourd'hui un partenaire agissant et fiable dans les opérations de maintien de la paix, à travers la participation de nos unités par divers contingents et par nos cadres militaires au sein des structures des organismes onusiens.

Cet engagement sera renforcé, si Dieu Le veut, par la création d'un Centre marocain pluridisciplinaire de maintien de la paix qui aura pour mission de former et de soutenir les compétences nationales et étrangères, notamment sur le continent africain et ce, en partenariat avec les Nations Unies et certains pays amis, afin de promouvoir les principes de la sécurité et de la paix internationales.

Officiers, sous-officiers et militaires de rang,

En ce glorieux anniversaire, et dans le domaine de la sécurité, Nous ne manquerons pas non plus d'exprimer Notre profonde satisfaction et Notre reconnaissance aux Hommes de la Gendarmerie Royale, de la Sûreté Nationale, des Forces Auxiliaires, de la Protection Civile et de l'Administration Territoriale, pour ce qu'ils accomplissent, jour et nuit, afin de veiller à la quiétude des citoyens et à la protection de leurs intérêts, ainsi que pour leurs efforts constants pour préserver la sécurité et veiller à la sûreté du pays, avec discipline, persévérance et loyalisme.

Et comme chaque année, Nous nous remémorons, en ce jour, avec révérence et considération, les nobles actions des deux défunts Rois, Notre Auguste grand-père, Sa Majesté le Roi Mohammed V et Notre vénéré père, Sa Majesté le Roi Hassan II, que Dieu accorde paix à leurs âmes, en faveur des Forces Armées, priant le Tout-Puissant de les combler de Sa grande miséricorde, et de les accueillir dans Son vaste Paradis, parmi les Prophètes, les Saints, les martyrs et les vertueux.

Nous prions également le Très-Haut de répandre Sa miséricorde sur Nos valeureux martyrs qui sont tombés au champ d'honneur pour que le Maroc puisse vivre dans la liberté et l'indépendance, et que ses enfants jouissent de la prospérité et de la dignité, dans la quiétude et la paix.

Persévérez, que Dieu vous bénisse, sur cette voie que Nous avons tracée pour vous, fidèles au serment de la Marche Verte et défendant l'unité et les sacralités de la Patrie, mobilisés derrière votre Chef Suprême et Chef d'Etat-Major Général des Forces Armées Royales, et attachés à Votre devise éternelle : Dieu, la Patrie, le Roi""."
