,0,1,2,3,4,5,6,7,8,9
Topic 1,"('0.039', 'alopec')","('0.025', 'médic')","('0.022', 'cheveux')","('0.019', 'cultur')","('0.017', 'fréquent')","('0.017', 'repouss')","('0.017', 'poil')","('0.014', 'agad')","('0.014', 'corp')","('0.013', 'américain')"
Topic 2,"('0.042', 'logist')","('0.026', 'digitalis')","('0.024', 'transport')","('0.020', 'salon')","('0.015', 'variol')","('0.014', 'sing')","('0.014', 'adapt')","('0.014', 'professionnel')","('0.009', 'urgenc')","('0.009', 'tedros')"
Topic 3,"('0.071', 'cybersécur')","('0.044', 'hackathon')","('0.035', 'lmp')","('0.021', 'startup')","('0.020', 'numer')","('0.020', 'météorolog')","('0.019', 'orag')","('0.018', 'security')","('0.018', 'cyb')","('0.018', 'enjeux')"
Topic 4,"('0.041', 'taux')","('0.020', 'heur')","('0.015', 'mainten')","('0.015', 'immun')","('0.015', 'majest')","('0.014', 'instant')","('0.012', 'plateform')","('0.012', 'réclam')","('0.012', 'médical')","('0.011', 'royal')"
Topic 5,"('0.033', 'franklin')","('0.019', 'personnag')","('0.019', 'américain')","('0.018', 'britann')","('0.018', 'incarn')","('0.018', 'franco')","('0.017', 'pierr')","('0.017', 'épisod')","('0.017', 'michael')","('0.016', 'benjamin')"
Topic 6,"('0.006', 'format')","('0.006', 'conseil')","('0.005', 'relat')","('0.005', 'gouvern')","('0.005', 'régional')","('0.004', 'commun')","('0.004', 'domain')","('0.004', 'initi')","('0.004', 'professionnel')","('0.004', 'univers')"
Topic 7,"('0.006', 'vari')","('0.006', 'enfant')","('0.005', 'femm')","('0.005', 'omicron')","('0.004', 'risqu')","('0.004', 'médecin')","('0.004', 'prix')","('0.004', 'expliqu')","('0.004', 'sanitair')","('0.004', 'faut')"
Topic 8,"('0.022', 'hybrid')","('0.022', 'aircross')","('0.016', 'conduit')","('0.016', 'styl')","('0.016', 'confort')","('0.015', 'motoris')","('0.013', 'conducteur')","('0.013', 'litr')","('0.013', 'bord')","('0.013', 'moteur')"
Topic 9,"('0.029', 'rir')","('0.025', 'afric')","('0.025', 'startup')","('0.019', 'talent')","('0.019', 'spectacl')","('0.018', 'forum')","('0.018', 'catégor')","('0.018', 'char')","('0.013', 'francophon')","('0.012', 'nomm')"
Topic 10,"('0.026', 'trafic')","('0.019', 'euro')","('0.018', 'perform')","('0.018', 'nador')","('0.017', 'west')","('0.015', 'aéroport')","('0.015', 'banqu')","('0.015', 'commercial')","('0.014', 'sal')","('0.014', 'régional')"
